pool_id,tranche_name,seniority,attachment_point,detachment_point,interest_rate,total_balance,total_ecl,tranche_balance,subordination,tranche_expected_loss,tranche_loss_pct
POOL-04,A,3,0.06,0.1,0.08,524805706.15,2000936.9,20992228.246000003,0.06,0.0,0.0
POOL-04,BBB,4,0.03,0.06,0.11,524805706.15,2000936.9,15744171.1845,0.03,0.0,0.0
POOL-04,Equity,5,0.0,0.03,0.2,524805706.15,2000936.9,15744171.1845,0.0,2000936.9,0.1271
POOL-05,AAA,1,0.15,1.0,0.04,507762933.41,1972299.1,431598493.3985,0.15,0.0,0.0
POOL-05,AA,2,0.1,0.15,0.06,507762933.41,1972299.1,25388146.670499995,0.1,0.0,0.0
POOL-05,A,3,0.06,0.1,0.08,507762933.41,1972299.1,20310517.336400006,0.06,0.0,0.0
POOL-05,BBB,4,0.03,0.06,0.11,507762933.41,1972299.1,15232888.0023,0.03,0.0,0.0
POOL-05,Equity,5,0.0,0.03,0.2,507762933.41,1972299.1,15232888.0023,0.0,1972299.1,0.1295
POOL-06,AAA,1,0.15,1.0,0.04,544120150.01,2194122.37,462502127.5085,0.15,0.0,0.0
POOL-06,AA,2,0.1,0.15,0.06,544120150.01,2194122.37,27206007.500499994,0.1,0.0,0.0
POOL-06,A,3,0.06,0.1,0.08,544120150.01,2194122.37,21764806.000400003,0.06,0.0,0.0
POOL-06,BBB,4,0.03,0.06,0.11,544120150.01,2194122.37,16323604.5003,0.03,0.0,0.0
POOL-06,Equity,5,0.0,0.03,0.2,544120150.01,2194122.37,16323604.5003,0.0,2194122.37,0.1344
POOL-07,AAA,1,0.15,1.0,0.04,529115025.86,1885439.95,449747771.981,0.15,0.0,0.0
POOL-07,AA,2,0.1,0.15,0.06,529115025.86,1885439.95,26455751.292999994,0.1,0.0,0.0
POOL-07,A,3,0.06,0.1,0.08,529115025.86,1885439.95,21164601.034400005,0.06,0.0,0.0
POOL-07,BBB,4,0.03,0.06,0.11,529115025.86,1885439.95,15873450.775799999,0.03,0.0,0.0
POOL-07,Equity,5,0.0,0.03,0.2,529115025.86,1885439.95,15873450.775799999,0.0,1885439.95,0.1188
POOL-08,AAA,1,0.15,1.0,0.04,532977933.09,1888646.28,453031243.12649995,0.15,0.0,0.0
POOL-08,AA,2,0.1,0.15,0.06,532977933.09,1888646.28,26648896.654499993,0.1,0.0,0.0
POOL-08,A,3,0.06,0.1,0.08,532977933.09,1888646.28,21319117.3236,0.06,0.0,0.0
POOL-08,BBB,4,0.03,0.06,0.11,532977933.09,1888646.28,15989337.9927,0.03,0.0,0.0
POOL-08,Equity,5,0.0,0.03,0.2,532977933.09,1888646.28,15989337.9927,0.0,1888646.28,0.1181
POOL-09,AAA,1,0.15,1.0,0.04,541533785.56,2371413.36,460303717.72599995,0.15,0.0,0.0
POOL-09,AA,2,0.1,0.15,0.06,541533785.56,2371413.36,27076689.27799999,0.1,0.0,0.0
POOL-09,A,3,0.06,0.1,0.08,541533785.56,2371413.36,21661351.4224,0.06,0.0,0.0
POOL-09,BBB,4,0.03,0.06,0.11,541533785.56,2371413.36,16246013.566799998,0.03,0.0,0.0
POOL-09,Equity,5,0.0,0.03,0.2,541533785.56,2371413.36,16246013.566799998,0.0,2371413.36,0.146
POOL-10,AAA,1,0.15,1.0,0.04,530640574.52,2215874.34,451044488.34199995,0.15,0.0,0.0
POOL-10,AA,2,0.1,0.15,0.06,530640574.52,2215874.34,26532028.725999992,0.1,0.0,0.0
POOL-10,A,3,0.06,0.1,0.08,530640574.52,2215874.34,21225622.980800003,0.06,0.0,0.0
POOL-10,BBB,4,0.03,0.06,0.11,530640574.52,2215874.34,15919217.235599998,0.03,0.0,0.0
POOL-10,Equity,5,0.0,0.03,0.2,530640574.52,2215874.34,15919217.235599998,0.0,2215874.34,0.1392
