loan_id,pool_id,risk_score,risk_classification
LN-0000053,POOL-05,24.7,LOW
LN-0000054,POOL-04,18.1,LOW
LN-0000055,POOL-08,14.5,LOW
LN-0000056,POOL-10,14.5,LOW
LN-0000057,POOL-09,8.4,LOW
LN-0000058,POOL-06,19.3,LOW
LN-0000059,POOL-08,10.8,LOW
LN-0000060,POOL-02,22.7,LOW
LN-0000061,POOL-07,12.4,LOW
LN-0000062,POOL-05,21.0,LOW
LN-0000063,POOL-01,70.0,HIGH
LN-0000064,POOL-08,17.9,LOW
LN-0000065,POOL-01,18.9,LOW
LN-0000066,POOL-03,23.4,LOW
LN-0000067,POOL-08,17.2,LOW
LN-0000068,POOL-03,19.7,LOW
LN-0000069,POOL-01,22.3,LOW
LN-0000070,POOL-10,19.0,LOW
LN-0000071,POOL-03,26.3,LOW
LN-0000072,POOL-05,19.7,LOW
LN-0000073,POOL-08,20.9,LOW
LN-0000074,POOL-03,19.5,LOW
LN-0000075,POOL-02,22.5,LOW
LN-0000076,POOL-01,13.5,LOW
LN-0000077,POOL-08,24.7,LOW
LN-0000078,POOL-08,14.1,LOW
LN-0000079,POOL-09,24.3,LOW
LN-0000080,POOL-04,22.1,LOW
LN-0000081,POOL-10,73.0,HIGH
LN-0000082,POOL-03,20.5,LOW
LN-0000083,POOL-10,17.2,LOW
LN-0000084,POOL-04,12.7,LOW
LN-0000085,POOL-05,33.0,MODERATE
LN-0000086,POOL-06,10.0,LOW
LN-0000087,POOL-05,15.2,LOW
LN-0000088,POOL-09,15.5,LOW
LN-0000089,POOL-10,20.1,LOW
LN-0000090,POOL-01,26.6,LOW
LN-0000091,POOL-05,73.4,HIGH
LN-0000092,POOL-02,29.2,LOW
LN-0000093,POOL-08,17.4,LOW
LN-0000094,POOL-02,15.3,LOW
LN-0000095,POOL-02,18.5,LOW
LN-0000096,POOL-02,23.3,LOW
LN-0000097,POOL-01,21.8,LOW
LN-0000098,POOL-07,18.3,LOW
LN-0000099,POOL-10,12.0,LOW
LN-0000100,POOL-06,10.2,LOW
LN-0000101,POOL-03,17.8,LOW
LN-0000102,POOL-08,9.7,LOW
LN-0000103,POOL-08,12.5,LOW
LN-0000104,POOL-06,34.3,MODERATE
LN-0000105,POOL-07,11.5,LOW
LN-0000106,POOL-10,11.2,LOW
LN-0000107,POOL-06,21.0,LOW
LN-0000108,POOL-10,26.9,LOW
LN-0000109,POOL-09,12.0,LOW
LN-0000110,POOL-07,9.8,LOW
LN-0000111,POOL-05,13.1,LOW
LN-0000112,POOL-06,18.7,LOW
LN-0000113,POOL-10,11.1,LOW
LN-0000114,POOL-07,70.2,HIGH
LN-0000115,POOL-05,12.9,LOW
LN-0000116,POOL-04,17.1,LOW
LN-0000117,POOL-05,20.7,LOW
LN-0000118,POOL-09,10.9,LOW
LN-0000119,POOL-07,16.2,LOW
LN-0000120,POOL-05,27.8,LOW
LN-0000121,POOL-07,23.1,LOW
LN-0000122,POOL-09,18.7,LOW
LN-0000123,POOL-05,23.1,LOW
LN-0000124,POOL-10,27.1,LOW
LN-0000125,POOL-06,22.4,LOW
LN-0000126,POOL-01,24.1,LOW
LN-0000127,POOL-02,27.1,LOW
LN-0000128,POOL-03,19.1,LOW
LN-0000129,POOL-06,15.5,LOW
LN-0000130,POOL-03,13.2,LOW
LN-0000131,POOL-02,19.8,LOW
LN-0000132,POOL-08,21.7,LOW
LN-0000133,POOL-03,27.5,LOW
LN-0000134,POOL-02,20.6,LOW
LN-0000135,POOL-08,18.5,LOW
LN-0000136,POOL-08,21.7,LOW
LN-0000137,POOL-10,23.3,LOW
LN-0000138,POOL-10,11.4,LOW
LN-0000139,POOL-02,13.2,LOW
LN-0000140,POOL-02,20.1,LOW
LN-0000141,POOL-03,24.6,LOW
LN-0000142,POOL-03,12.5,LOW
LN-0000143,POOL-10,23.3,LOW
LN-0000144,POOL-10,20.0,LOW
LN-0000145,POOL-07,14.4,LOW
LN-0000146,POOL-10,70.6,HIGH
LN-0000147,POOL-08,12.5,LOW
LN-0000148,POOL-08,19.3,LOW
LN-0000149,POOL-04,13.8,LOW
LN-0000150,POOL-03,10.5,LOW
LN-0000151,POOL-06,24.1,LOW
LN-0000152,POOL-09,21.9,LOW
LN-0000153,POOL-03,14.8,LOW
LN-0000154,POOL-01,15.4,LOW
LN-0000155,POOL-02,11.8,LOW
LN-0000156,POOL-05,14.6,LOW
LN-0000157,POOL-05,10.8,LOW
LN-0000158,POOL-08,24.1,LOW
LN-0000159,POOL-07,19.3,LOW
LN-0000160,POOL-09,30.9,MODERATE
LN-0000161,POOL-03,19.5,LOW
LN-0000162,POOL-06,84.4,CRITICAL
LN-0000163,POOL-02,15.7,LOW
LN-0000164,POOL-05,36.0,MODERATE
LN-0000165,POOL-02,43.6,MODERATE
LN-0000166,POOL-07,23.0,LOW
LN-0000167,POOL-09,12.2,LOW
LN-0000168,POOL-07,19.4,LOW
LN-0000169,POOL-09,14.6,LOW
LN-0000170,POOL-09,19.7,LOW
LN-0000171,POOL-04,13.3,LOW
LN-0000172,POOL-04,22.8,LOW
LN-0000173,POOL-02,23.5,LOW
LN-0000174,POOL-05,16.8,LOW
LN-0000175,POOL-04,19.1,LOW
LN-0000176,POOL-06,12.4,LOW
LN-0000177,POOL-03,17.6,LOW
LN-0000178,POOL-07,11.4,LOW
LN-0000179,POOL-06,33.1,MODERATE
LN-0000180,POOL-07,19.1,LOW
LN-0000181,POOL-03,12.7,LOW
LN-0000182,POOL-07,9.9,LOW
LN-0000183,POOL-10,11.9,LOW
LN-0000184,POOL-07,34.8,MODERATE
LN-0000185,POOL-08,22.3,LOW
LN-0000186,POOL-01,29.3,LOW
LN-0000187,POOL-10,21.3,LOW
LN-0000188,POOL-02,21.8,LOW
LN-0000189,POOL-04,30.9,MODERATE
LN-0000190,POOL-02,36.3,MODERATE
LN-0000191,POOL-01,22.0,LOW
LN-0000192,POOL-04,48.9,MODERATE
LN-0000193,POOL-08,20.2,LOW
LN-0000194,POOL-10,32.1,MODERATE
LN-0000195,POOL-05,57.4,HIGH
LN-0000196,POOL-01,21.1,LOW
LN-0000197,POOL-05,18.8,LOW
LN-0000198,POOL-03,19.0,LOW
LN-0000199,POOL-02,18.4,LOW
LN-0000200,POOL-03,13.6,LOW
LN-0000201,POOL-04,14.3,LOW
LN-0000202,POOL-05,11.8,LOW
LN-0000203,POOL-09,15.7,LOW
LN-0000204,POOL-07,8.9,LOW
LN-0000205,POOL-07,10.5,LOW
LN-0000206,POOL-01,20.1,LOW
LN-0000207,POOL-09,20.1,LOW
LN-0000208,POOL-01,10.7,LOW
LN-0000209,POOL-03,18.5,LOW
LN-0000210,POOL-06,16.6,LOW
LN-0000211,POOL-01,12.1,LOW
LN-0000212,POOL-07,57.5,HIGH
LN-0000213,POOL-10,53.6,HIGH
LN-0000214,POOL-09,18.8,LOW
LN-0000215,POOL-03,51.0,HIGH
LN-0000216,POOL-02,18.7,LOW
LN-0000217,POOL-10,12.8,LOW
LN-0000218,POOL-03,22.1,LOW
LN-0000219,POOL-10,19.8,LOW
LN-0000220,POOL-04,20.0,LOW
LN-0000221,POOL-06,23.2,LOW
LN-0000222,POOL-06,18.5,LOW
LN-0000223,POOL-06,30.0,MODERATE
LN-0000224,POOL-10,13.1,LOW
LN-0000225,POOL-09,24.5,LOW
LN-0000226,POOL-05,17.3,LOW
LN-0000227,POOL-06,15.5,LOW
LN-0000228,POOL-10,65.8,HIGH
LN-0000229,POOL-04,32.3,MODERATE
LN-0000230,POOL-03,21.9,LOW
LN-0000231,POOL-02,24.3,LOW
LN-0000232,POOL-07,11.2,LOW
LN-0000233,POOL-03,18.5,LOW
LN-0000234,POOL-09,20.5,LOW
LN-0000235,POOL-05,20.9,LOW
LN-0000236,POOL-09,22.5,LOW
LN-0000237,POOL-02,13.4,LOW
LN-0000238,POOL-06,13.0,LOW
LN-0000239,POOL-10,42.6,MODERATE
LN-0000240,POOL-08,20.9,LOW
LN-0000241,POOL-06,24.1,LOW
LN-0000242,POOL-10,26.6,LOW
LN-0000243,POOL-05,21.6,LOW
LN-0000244,POOL-09,19.3,LOW
LN-0000245,POOL-06,24.7,LOW
LN-0000246,POOL-10,19.7,LOW
LN-0000247,POOL-04,26.1,LOW
LN-0000248,POOL-04,20.0,LOW
LN-0000249,POOL-01,11.1,LOW
LN-0000250,POOL-05,19.0,LOW
LN-0000251,POOL-10,10.3,LOW
LN-0000252,POOL-05,43.6,MODERATE
LN-0000253,POOL-04,20.7,LOW
LN-0000254,POOL-10,15.6,LOW
LN-0000255,POOL-08,25.0,LOW
LN-0000256,POOL-04,18.9,LOW
LN-0000257,POOL-07,14.7,LOW
LN-0000258,POOL-09,18.8,LOW
LN-0000259,POOL-04,20.6,LOW
LN-0000260,POOL-03,18.0,LOW
LN-0000261,POOL-01,16.1,LOW
LN-0000262,POOL-06,20.6,LOW
LN-0000263,POOL-10,21.7,LOW
LN-0000264,POOL-01,21.6,LOW
LN-0000265,POOL-05,35.1,MODERATE
LN-0000266,POOL-04,17.0,LOW
LN-0000267,POOL-03,12.2,LOW
LN-0000268,POOL-05,22.8,LOW
LN-0000269,POOL-02,9.5,LOW
LN-0000270,POOL-08,13.5,LOW
LN-0000271,POOL-01,33.8,MODERATE
LN-0000272,POOL-08,18.7,LOW
LN-0000273,POOL-07,11.5,LOW
LN-0000274,POOL-08,19.3,LOW
LN-0000275,POOL-07,14.0,LOW
LN-0000276,POOL-08,15.5,LOW
LN-0000277,POOL-05,10.7,LOW
LN-0000278,POOL-10,19.4,LOW
LN-0000279,POOL-09,16.3,LOW
LN-0000280,POOL-07,18.9,LOW
LN-0000281,POOL-04,22.7,LOW
LN-0000282,POOL-10,21.0,LOW
LN-0000283,POOL-06,72.6,HIGH
LN-0000284,POOL-08,15.8,LOW
LN-0000285,POOL-04,74.2,HIGH
LN-0000286,POOL-06,25.7,LOW
LN-0000287,POOL-05,12.2,LOW
LN-0000288,POOL-10,17.5,LOW
LN-0000289,POOL-02,14.3,LOW
LN-0000290,POOL-01,20.6,LOW
LN-0000291,POOL-05,22.9,LOW
LN-0000292,POOL-06,23.7,LOW
LN-0000293,POOL-02,18.9,LOW
LN-0000294,POOL-01,26.1,LOW
LN-0000295,POOL-02,9.7,LOW
LN-0000296,POOL-06,26.5,LOW
LN-0000297,POOL-06,13.8,LOW
LN-0000298,POOL-04,10.6,LOW
LN-0000299,POOL-06,15.8,LOW
LN-0000300,POOL-04,30.3,MODERATE
LN-0000301,POOL-03,11.6,LOW
LN-0000302,POOL-03,18.6,LOW
LN-0000303,POOL-08,22.3,LOW
LN-0000304,POOL-05,13.3,LOW
LN-0000305,POOL-02,15.2,LOW
LN-0000306,POOL-01,10.7,LOW
LN-0000307,POOL-06,74.4,HIGH
LN-0000308,POOL-08,22.4,LOW
LN-0000309,POOL-04,20.4,LOW
LN-0000310,POOL-09,20.4,LOW
LN-0000311,POOL-08,19.9,LOW
LN-0000312,POOL-07,18.2,LOW
LN-0000313,POOL-07,20.3,LOW
LN-0000314,POOL-02,16.4,LOW
LN-0000315,POOL-09,14.2,LOW
LN-0000316,POOL-01,21.7,LOW
LN-0000317,POOL-03,15.2,LOW
LN-0000318,POOL-04,20.5,LOW
LN-0000319,POOL-03,12.0,LOW
LN-0000320,POOL-09,23.2,LOW
LN-0000321,POOL-01,68.3,HIGH
LN-0000322,POOL-02,70.7,HIGH
LN-0000323,POOL-01,14.3,LOW
LN-0000324,POOL-10,25.4,LOW
LN-0000325,POOL-08,18.6,LOW
LN-0000326,POOL-06,13.0,LOW
LN-0000327,POOL-09,23.9,LOW
LN-0000328,POOL-09,46.1,MODERATE
LN-0000329,POOL-01,20.0,LOW
LN-0000330,POOL-03,52.4,HIGH
LN-0000331,POOL-09,22.0,LOW
LN-0000332,POOL-03,29.6,LOW
LN-0000333,POOL-03,13.6,LOW
LN-0000334,POOL-08,22.6,LOW
LN-0000335,POOL-09,24.7,LOW
LN-0000336,POOL-03,19.3,LOW
LN-0000337,POOL-03,14.5,LOW
LN-0000338,POOL-01,21.3,LOW
LN-0000339,POOL-09,22.9,LOW
LN-0000340,POOL-06,11.1,LOW
LN-0000341,POOL-03,29.4,LOW
LN-0000342,POOL-09,13.7,LOW
LN-0000343,POOL-04,15.3,LOW
LN-0000344,POOL-08,71.6,HIGH
LN-0000345,POOL-04,21.4,LOW
LN-0000346,POOL-07,17.6,LOW
LN-0000347,POOL-03,25.5,LOW
LN-0000348,POOL-02,19.3,LOW
LN-0000349,POOL-04,15.0,LOW
LN-0000350,POOL-01,20.7,LOW
LN-0000351,POOL-07,21.1,LOW
LN-0000352,POOL-04,10.4,LOW
LN-0000353,POOL-10,19.5,LOW
LN-0000354,POOL-09,67.5,HIGH
LN-0000355,POOL-03,18.8,LOW
LN-0000356,POOL-02,81.9,CRITICAL
LN-0000357,POOL-08,23.0,LOW
LN-0000358,POOL-03,10.7,LOW
LN-0000359,POOL-04,17.8,LOW
LN-0000360,POOL-07,27.8,LOW
LN-0000361,POOL-05,14.6,LOW
LN-0000362,POOL-02,19.1,LOW
LN-0000363,POOL-05,27.4,LOW
LN-0000364,POOL-03,23.2,LOW
LN-0000365,POOL-03,11.2,LOW
LN-0000366,POOL-04,12.8,LOW
LN-0000367,POOL-05,9.2,LOW
LN-0000368,POOL-05,15.3,LOW
LN-0000369,POOL-08,69.6,HIGH
LN-0000370,POOL-08,24.7,LOW
LN-0000371,POOL-09,14.7,LOW
LN-0000372,POOL-03,10.9,LOW
LN-0000373,POOL-10,14.8,LOW
LN-0000374,POOL-09,13.6,LOW
LN-0000375,POOL-03,19.9,LOW
LN-0000376,POOL-07,52.7,HIGH
LN-0000377,POOL-03,35.6,MODERATE
LN-0000378,POOL-07,14.0,LOW
LN-0000379,POOL-08,35.4,MODERATE
LN-0000380,POOL-10,17.0,LOW
LN-0000381,POOL-03,16.2,LOW
LN-0000382,POOL-06,14.0,LOW
LN-0000383,POOL-10,21.0,LOW
LN-0000384,POOL-05,13.5,LOW
LN-0000385,POOL-02,19.9,LOW
LN-0000386,POOL-04,19.8,LOW
LN-0000387,POOL-07,24.7,LOW
LN-0000388,POOL-03,30.7,MODERATE
LN-0000389,POOL-04,13.4,LOW
LN-0000390,POOL-06,16.9,LOW
LN-0000391,POOL-10,26.8,LOW
LN-0000392,POOL-09,16.4,LOW
LN-0000393,POOL-09,16.9,LOW
LN-0000394,POOL-06,12.8,LOW
LN-0000395,POOL-02,21.5,LOW
LN-0000396,POOL-05,20.4,LOW
LN-0000397,POOL-09,11.0,LOW
LN-0000398,POOL-05,13.7,LOW
LN-0000399,POOL-05,18.1,LOW
LN-0000400,POOL-06,23.6,LOW
LN-0000401,POOL-08,16.7,LOW
LN-0000402,POOL-06,21.3,LOW
LN-0000403,POOL-01,9.9,LOW
LN-0000404,POOL-05,19.5,LOW
LN-0000405,POOL-06,24.0,LOW
LN-0000406,POOL-10,9.8,LOW
LN-0000407,POOL-03,13.8,LOW
LN-0000408,POOL-06,15.0,LOW
LN-0000409,POOL-04,10.6,LOW
LN-0000410,POOL-08,9.7,LOW
LN-0000411,POOL-08,12.9,LOW
LN-0000412,POOL-07,74.4,HIGH
LN-0000413,POOL-05,19.4,LOW
LN-0000414,POOL-10,15.7,LOW
LN-0000415,POOL-08,26.3,LOW
LN-0000416,POOL-07,20.5,LOW
LN-0000417,POOL-01,27.4,LOW
LN-0000418,POOL-08,17.2,LOW
LN-0000419,POOL-03,16.8,LOW
LN-0000420,POOL-05,13.1,LOW
LN-0000421,POOL-08,10.3,LOW
LN-0000422,POOL-03,20.9,LOW
LN-0000423,POOL-03,33.9,MODERATE
LN-0000424,POOL-05,21.8,LOW
LN-0000425,POOL-09,23.3,LOW
LN-0000426,POOL-07,10.4,LOW
LN-0000427,POOL-04,19.0,LOW
LN-0000428,POOL-08,20.3,LOW
LN-0000429,POOL-10,18.4,LOW
LN-0000430,POOL-06,19.6,LOW
LN-0000431,POOL-08,13.5,LOW
LN-0000432,POOL-06,20.0,LOW
LN-0000433,POOL-03,25.4,LOW
LN-0000434,POOL-10,21.3,LOW
LN-0000435,POOL-07,29.6,LOW
LN-0000436,POOL-01,34.9,MODERATE
LN-0000437,POOL-09,21.7,LOW
LN-0000438,POOL-10,15.5,LOW
LN-0000439,POOL-02,69.8,HIGH
LN-0000440,POOL-03,74.8,HIGH
LN-0000441,POOL-04,20.3,LOW
LN-0000442,POOL-01,10.8,LOW
LN-0000443,POOL-08,24.7,LOW
LN-0000444,POOL-01,28.7,LOW
LN-0000445,POOL-03,15.2,LOW
LN-0000446,POOL-02,23.0,LOW
LN-0000447,POOL-02,24.8,LOW
LN-0000448,POOL-05,18.1,LOW
LN-0000449,POOL-08,31.0,MODERATE
LN-0000450,POOL-06,24.7,LOW
LN-0000451,POOL-02,11.9,LOW
LN-0000452,POOL-04,11.0,LOW
LN-0000453,POOL-02,8.9,LOW
LN-0000454,POOL-05,16.7,LOW
LN-0000455,POOL-08,21.1,LOW
LN-0000456,POOL-03,11.1,LOW
LN-0000457,POOL-10,19.9,LOW
LN-0000458,POOL-09,23.0,LOW
LN-0000459,POOL-06,21.4,LOW
LN-0000460,POOL-08,14.5,LOW
LN-0000461,POOL-03,20.3,LOW
LN-0000462,POOL-08,17.1,LOW
LN-0000463,POOL-08,21.4,LOW
LN-0000464,POOL-01,23.6,LOW
LN-0000465,POOL-09,18.4,LOW
LN-0000466,POOL-01,10.9,LOW
LN-0000467,POOL-08,20.7,LOW
LN-0000468,POOL-02,11.4,LOW
LN-0000469,POOL-01,19.1,LOW
LN-0000470,POOL-05,19.3,LOW
LN-0000471,POOL-07,21.3,LOW
LN-0000472,POOL-01,11.5,LOW
LN-0000473,POOL-02,15.6,LOW
LN-0000474,POOL-09,11.7,LOW
LN-0000475,POOL-06,24.7,LOW
LN-0000476,POOL-01,17.4,LOW
LN-0000477,POOL-01,11.0,LOW
LN-0000478,POOL-01,70.2,HIGH
LN-0000479,POOL-03,18.8,LOW
LN-0000480,POOL-08,69.9,HIGH
LN-0000481,POOL-08,19.4,LOW
LN-0000482,POOL-01,19.5,LOW
LN-0000483,POOL-10,11.2,LOW
LN-0000484,POOL-02,26.7,LOW
LN-0000485,POOL-01,12.2,LOW
LN-0000486,POOL-10,18.6,LOW
LN-0000487,POOL-03,11.0,LOW
LN-0000488,POOL-09,39.8,MODERATE
LN-0000489,POOL-07,20.3,LOW
LN-0000490,POOL-05,19.4,LOW
LN-0000491,POOL-06,12.1,LOW
LN-0000492,POOL-10,19.5,LOW
LN-0000493,POOL-10,22.7,LOW
LN-0000494,POOL-09,17.6,LOW
LN-0000495,POOL-10,22.0,LOW
LN-0000496,POOL-04,22.1,LOW
LN-0000497,POOL-05,13.8,LOW
LN-0000498,POOL-05,22.3,LOW
LN-0000499,POOL-02,10.8,LOW
LN-0000500,POOL-06,12.8,LOW
LN-0000501,POOL-06,23.6,LOW
LN-0000502,POOL-03,16.8,LOW
LN-0000503,POOL-04,27.3,LOW
LN-0000504,POOL-10,13.9,LOW
LN-0000505,POOL-07,15.7,LOW
LN-0000506,POOL-03,14.8,LOW
LN-0000507,POOL-02,19.7,LOW
LN-0000508,POOL-07,24.4,LOW
LN-0000509,POOL-10,69.8,HIGH
LN-0000510,POOL-04,20.1,LOW
LN-0000511,POOL-06,70.1,HIGH
LN-0000512,POOL-03,23.2,LOW
LN-0000513,POOL-07,19.2,LOW
LN-0000514,POOL-09,16.6,LOW
LN-0000515,POOL-06,22.2,LOW
LN-0000516,POOL-07,18.5,LOW
LN-0000517,POOL-08,18.7,LOW
LN-0000518,POOL-10,18.5,LOW
LN-0000519,POOL-09,10.4,LOW
LN-0000520,POOL-04,27.2,LOW
LN-0000521,POOL-08,19.7,LOW
LN-0000522,POOL-03,18.5,LOW
LN-0000523,POOL-01,13.3,LOW
LN-0000524,POOL-09,22.8,LOW
LN-0000525,POOL-10,24.3,LOW
LN-0000526,POOL-02,25.1,LOW
LN-0000527,POOL-10,21.2,LOW
LN-0000528,POOL-07,18.6,LOW
LN-0000529,POOL-07,29.5,LOW
LN-0000530,POOL-06,28.8,LOW
LN-0000531,POOL-09,24.8,LOW
LN-0000532,POOL-04,16.6,LOW
LN-0000533,POOL-07,10.9,LOW
LN-0000534,POOL-03,18.3,LOW
LN-0000535,POOL-07,17.0,LOW
LN-0000536,POOL-09,19.1,LOW
LN-0000537,POOL-06,23.6,LOW
LN-0000538,POOL-08,21.5,LOW
LN-0000539,POOL-08,18.8,LOW
LN-0000540,POOL-07,26.0,LOW
LN-0000541,POOL-03,10.7,LOW
LN-0000542,POOL-02,18.8,LOW
LN-0000543,POOL-02,31.3,MODERATE
LN-0000544,POOL-09,18.6,LOW
LN-0000545,POOL-06,12.2,LOW
LN-0000546,POOL-07,18.9,LOW
LN-0000547,POOL-09,21.3,LOW
LN-0000548,POOL-06,15.5,LOW
LN-0000549,POOL-08,13.3,LOW
LN-0000550,POOL-07,8.8,LOW
LN-0000551,POOL-09,18.0,LOW
LN-0000552,POOL-09,82.1,CRITICAL
LN-0000553,POOL-10,36.8,MODERATE
LN-0000554,POOL-09,17.6,LOW
LN-0000555,POOL-09,50.8,HIGH
LN-0000556,POOL-10,21.0,LOW
LN-0000557,POOL-03,25.3,LOW
LN-0000558,POOL-06,80.6,CRITICAL
LN-0000559,POOL-03,20.0,LOW
LN-0000560,POOL-05,24.6,LOW
LN-0000561,POOL-05,21.7,LOW
LN-0000562,POOL-07,10.2,LOW
LN-0000563,POOL-02,17.4,LOW
LN-0000564,POOL-08,18.1,LOW
LN-0000565,POOL-01,20.7,LOW
LN-0000566,POOL-07,20.5,LOW
LN-0000567,POOL-10,50.3,HIGH
LN-0000568,POOL-03,23.9,LOW
LN-0000569,POOL-07,14.7,LOW
LN-0000570,POOL-06,18.1,LOW
LN-0000571,POOL-05,19.5,LOW
LN-0000572,POOL-10,19.0,LOW
LN-0000573,POOL-05,69.4,HIGH
LN-0000574,POOL-02,14.0,LOW
LN-0000575,POOL-02,10.3,LOW
LN-0000576,POOL-10,59.9,HIGH
LN-0000577,POOL-02,10.5,LOW
LN-0000578,POOL-01,12.1,LOW
LN-0000579,POOL-06,25.1,LOW
LN-0000580,POOL-09,13.2,LOW
LN-0000581,POOL-04,19.9,LOW
LN-0000582,POOL-09,66.4,HIGH
LN-0000583,POOL-04,32.5,MODERATE
LN-0000584,POOL-06,15.1,LOW
LN-0000585,POOL-09,17.6,LOW
LN-0000586,POOL-06,20.1,LOW
LN-0000587,POOL-02,12.4,LOW
LN-0000588,POOL-05,20.7,LOW
LN-0000589,POOL-07,19.3,LOW
LN-0000590,POOL-07,12.1,LOW
LN-0000591,POOL-10,18.9,LOW
LN-0000592,POOL-07,11.5,LOW
LN-0000593,POOL-01,29.9,LOW
LN-0000594,POOL-09,21.2,LOW
LN-0000595,POOL-04,82.5,CRITICAL
LN-0000596,POOL-10,23.9,LOW
LN-0000597,POOL-06,18.9,LOW
LN-0000598,POOL-05,22.3,LOW
LN-0000599,POOL-03,17.2,LOW
LN-0000600,POOL-02,19.5,LOW
LN-0000601,POOL-08,19.0,LOW
LN-0000602,POOL-05,19.7,LOW
LN-0000603,POOL-08,15.6,LOW
LN-0000604,POOL-09,71.0,HIGH
LN-0000605,POOL-06,69.2,HIGH
LN-0000606,POOL-09,8.9,LOW
LN-0000607,POOL-10,20.2,LOW
LN-0000608,POOL-03,24.7,LOW
LN-0000609,POOL-01,29.5,LOW
LN-0000610,POOL-09,19.7,LOW
LN-0000611,POOL-02,19.0,LOW
LN-0000612,POOL-03,65.7,HIGH
LN-0000613,POOL-05,65.6,HIGH
LN-0000614,POOL-05,12.3,LOW
LN-0000615,POOL-06,27.4,LOW
LN-0000616,POOL-01,21.2,LOW
LN-0000617,POOL-04,26.6,LOW
LN-0000618,POOL-04,10.5,LOW
LN-0000619,POOL-02,21.2,LOW
LN-0000620,POOL-01,19.0,LOW
LN-0000621,POOL-04,26.4,LOW
LN-0000622,POOL-04,20.7,LOW
LN-0000623,POOL-01,13.5,LOW
LN-0000624,POOL-01,11.4,LOW
LN-0000625,POOL-06,11.8,LOW
LN-0000626,POOL-01,24.5,LOW
LN-0000627,POOL-07,19.0,LOW
LN-0000628,POOL-01,10.1,LOW
LN-0000629,POOL-06,22.1,LOW
LN-0000630,POOL-04,33.3,MODERATE
LN-0000631,POOL-05,18.2,LOW
LN-0000632,POOL-08,10.0,LOW
LN-0000633,POOL-03,19.1,LOW
LN-0000634,POOL-04,14.1,LOW
LN-0000635,POOL-07,23.0,LOW
LN-0000636,POOL-09,18.5,LOW
LN-0000637,POOL-04,19.2,LOW
LN-0000638,POOL-02,11.7,LOW
LN-0000639,POOL-05,22.5,LOW
LN-0000640,POOL-06,16.4,LOW
LN-0000641,POOL-08,20.7,LOW
LN-0000642,POOL-01,17.3,LOW
LN-0000643,POOL-08,13.5,LOW
LN-0000644,POOL-02,10.5,LOW
LN-0000645,POOL-10,25.4,LOW
LN-0000646,POOL-07,26.4,LOW
LN-0000647,POOL-08,15.4,LOW
LN-0000648,POOL-07,22.7,LOW
LN-0000649,POOL-05,12.6,LOW
LN-0000650,POOL-06,74.5,HIGH
LN-0000651,POOL-04,20.9,LOW
LN-0000652,POOL-06,12.0,LOW
LN-0000653,POOL-05,26.8,LOW
LN-0000654,POOL-08,12.0,LOW
LN-0000655,POOL-08,35.4,MODERATE
LN-0000656,POOL-05,25.6,LOW
LN-0000657,POOL-04,9.7,LOW
LN-0000658,POOL-04,15.3,LOW
