loan_id,report_date,balance,delinquency_days,payment_received
LN-0000246,2023-01-31,205283.27,0,868.52
LN-0000247,2023-01-31,21120.22,0,1920.02
LN-0000248,2023-01-31,5506.05,0,217.98
LN-0000249,2023-01-31,23637.42,0,381.93
LN-0000250,2023-01-31,8988.76,0,338.5
LN-0000251,2023-01-31,12035.19,0,488.64
LN-0000254,2023-01-31,251586.75,0,1176.19
LN-0000257,2023-01-31,17092.51,0,864.66
LN-0000258,2023-01-31,470831.43,0,2185.98
LN-0000260,2023-01-31,276983.49,0,1344.86
LN-0000261,2023-01-31,35637.29,0,1293.51
LN-0000262,2023-01-31,211575.73,0,1075.27
LN-0000263,2023-01-31,10245.11,0,334.03
LN-0000266,2023-01-31,366098.89,0,1877.01
LN-0000267,2023-01-31,147145.11,0,1163.95
LN-0000269,2023-01-31,3074.11,0,70.23
LN-0000270,2023-01-31,254275.16,0,1927.38
LN-0000271,2023-01-31,19470.88,0,1770.08
LN-0000272,2023-01-31,401072.45,0,2234.08
LN-0000273,2023-01-31,185930.88,0,824.72
LN-0000274,2023-01-31,2743.51,30,249.41
LN-0000275,2023-01-31,31128.54,0,1027.51
LN-0000276,2023-01-31,494312.92,0,2231.94
LN-0000277,2023-01-31,40016.7,0,645.9
LN-0000278,2023-01-31,9975.38,0,327.62
LN-0000279,2023-01-31,399277.53,0,2019.04
LN-0000280,2023-01-31,21372.22,0,592.43
LN-0000282,2023-01-31,6539.72,0,594.52
LN-0000284,2023-01-31,181426.22,0,1445.09
LN-0000286,2023-01-31,7484.07,0,680.37
LN-0000287,2023-01-31,212824.71,0,978.5
LN-0000288,2023-01-31,375607.39,0,1682.84
LN-0000289,2023-01-31,160560.52,0,825.09
LN-0000290,2023-01-31,402099.36,0,1831.49
LN-0000291,2023-01-31,10815.38,0,363.9
LN-0000293,2023-01-31,6992.04,0,373.37
LN-0000294,2023-01-31,8159.65,0,680.46
LN-0000295,2023-01-31,26639.01,0,460.69
LN-0000297,2023-01-31,385949.95,0,1810.38
LN-0000298,2023-01-31,18552.75,0,893.68
LN-0000299,2023-01-31,10928.95,0,686.46
LN-0000300,2023-01-31,379304.41,0,3156.04
LN-0000301,2023-01-31,33525.99,0,580.09
LN-0000302,2023-01-31,420657.14,0,2192.78
LN-0000303,2023-01-31,13612.98,30,491.99
LN-0000304,2023-01-31,72067.05,0,344.26
LN-0000305,2023-01-31,13307.22,0,889.57
LN-0000306,2023-01-31,26897.4,0,793.68
LN-0000309,2023-01-31,8813.36,0,301.63
LN-0000310,2023-01-31,6455.71,0,212.29
LN-0000311,2023-01-31,19935.28,0,822.2
LN-0000312,2023-01-31,3340.7,0,303.7
LN-0000313,2023-01-31,6273.25,30,242.6
LN-0000314,2023-01-31,423207.19,0,1971.25
LN-0000315,2023-01-31,382135.83,0,1626.81
LN-0000316,2023-01-31,9945.5,30,348.85
LN-0000317,2023-01-31,26998.54,0,559.92
LN-0000319,2023-01-31,9887.99,0,241.43
LN-0000320,2023-01-31,9826.5,0,350.1
LN-0000323,2023-01-31,29450.6,0,606.4
LN-0000325,2023-01-31,415947.84,0,2146.03
LN-0000326,2023-01-31,13698.95,0,536.83
LN-0000327,2023-01-31,10552.19,0,495.18
LN-0000329,2023-01-31,9836.53,0,325.62
LN-0000330,2023-01-31,446359.46,0,1843.55
LN-0000331,2023-01-31,10382.35,0,943.85
LN-0000333,2023-01-31,14524.85,0,350.96
LN-0000334,2023-01-31,6081.13,0,552.83
LN-0000335,2023-01-31,17363.83,30,1578.53
LN-0000336,2023-01-31,176298.57,0,1471.57
LN-0000337,2023-01-31,190341.74,0,869.72
LN-0000339,2023-01-31,7670.74,0,697.34
LN-0000340,2023-01-31,182830.08,0,790.97
LN-0000341,2023-01-31,287381.01,0,1499.97
LN-0000342,2023-01-31,14272.63,0,325.19
LN-0000343,2023-01-31,248158.63,0,1236.83
LN-0000345,2023-01-31,403760.95,0,2121.49
LN-0000346,2023-01-31,236279.1,60,1929.98
LN-0000347,2023-01-31,15464.35,0,1405.85
LN-0000348,2023-01-31,3167.62,0,114.1
LN-0000349,2023-01-31,296254.77,30,1453.22
LN-0000350,2023-01-31,5373.06,0,488.46
LN-0000352,2023-01-31,25296.71,0,663.43
LN-0000353,2023-01-31,5100.69,0,272.26
LN-0000355,2023-01-31,20381.51,0,900.81
LN-0000357,2023-01-31,18082.02,0,1643.82
LN-0000358,2023-01-31,230740.65,0,1779.22
LN-0000359,2023-01-31,89355.49,0,457.69
LN-0000361,2023-01-31,25876.49,0,803.65
LN-0000362,2023-01-31,5455.19,0,218.96
LN-0000365,2023-01-31,19663.92,0,565.49
LN-0000366,2023-01-31,15896.27,0,355.44
LN-0000367,2023-01-31,24031.9,0,394.61
LN-0000368,2023-01-31,294625.28,0,1270.21
LN-0000370,2023-01-31,10813.15,0,608.72
LN-0000371,2023-01-31,271815.66,0,1173.84
LN-0000372,2023-01-31,144210.53,0,707.32
LN-0000373,2023-01-31,261985.32,0,1276.73
LN-0000374,2023-01-31,41066.51,0,1080.46
LN-0000375,2023-01-31,10185.99,60,369.21
LN-0000378,2023-01-31,112848.98,0,567.13
LN-0000379,2023-01-31,432844.25,0,2895.44
LN-0000380,2023-01-31,28819.09,0,654.71
LN-0000381,2023-01-31,365199.5,0,1554.74
LN-0000382,2023-01-31,290355.0,30,1324.48
LN-0000383,2023-01-31,10562.06,0,343.73
LN-0000384,2023-01-31,26171.03,0,482.4
LN-0000385,2023-01-31,2173.42,0,74.58
LN-0000386,2023-01-31,365032.34,0,1695.88
LN-0000387,2023-01-31,329297.54,0,2070.77
LN-0000388,2023-01-31,15000.59,0,1363.69
LN-0000389,2023-01-31,316269.37,0,1315.25
LN-0000390,2023-01-31,316684.66,60,1515.93
LN-0000391,2023-01-31,403459.91,0,1938.74
LN-0000392,2023-01-31,491535.99,0,2341.57
LN-0000393,2023-01-31,436222.66,0,2242.72
LN-0000394,2023-01-31,269393.77,0,1033.54
LN-0000395,2023-01-31,7724.61,0,251.01
LN-0000396,2023-01-31,285207.6,0,1310.3
LN-0000397,2023-01-31,10655.17,0,489.22
LN-0000398,2023-01-31,226373.78,0,952.89
LN-0000399,2023-01-31,346592.54,0,1794.02
LN-0000400,2023-01-31,13765.48,0,500.15
LN-0000401,2023-01-31,188023.97,0,1451.65
LN-0000402,2023-01-31,273218.65,0,1260.05
LN-0000403,2023-01-31,13830.91,0,357.51
LN-0000404,2023-01-31,302222.45,0,1355.46
LN-0000405,2023-01-31,327080.69,0,1686.65
LN-0000406,2023-01-31,24343.77,30,414.71
LN-0000407,2023-01-31,224290.69,0,1691.03
LN-0000408,2023-01-31,30153.85,0,752.03
LN-0000409,2023-01-31,275838.85,0,1166.86
LN-0000410,2023-01-31,46987.01,30,206.75
LN-0000411,2023-01-31,10805.34,0,357.49
LN-0000414,2023-01-31,307922.9,30,1300.29
LN-0000417,2023-01-31,400409.19,0,2039.1
LN-0000418,2023-01-31,353001.5,0,1505.59
LN-0000419,2023-01-31,248544.79,0,2009.8
LN-0000420,2023-01-31,18973.05,0,387.08
LN-0000421,2023-01-31,10785.35,0,192.87
LN-0000422,2023-01-31,2278.21,0,207.11
LN-0000423,2023-01-31,436479.86,0,2467.78
LN-0000424,2023-01-31,6677.99,0,607.09
LN-0000425,2023-01-31,415998.92,0,3383.28
LN-0000426,2023-01-31,17574.74,0,517.44
LN-0000427,2023-01-31,4559.86,0,305.53
LN-0000428,2023-01-31,6813.25,0,282.73
LN-0000429,2023-01-31,8914.7,0,528.83
LN-0000430,2023-01-31,3571.33,0,161.56
LN-0000432,2023-01-31,12429.33,0,533.25
LN-0000433,2023-01-31,279000.86,0,1356.67
LN-0000434,2023-01-31,368551.83,0,2737.29
LN-0000437,2023-01-31,8181.8,0,586.48
LN-0000438,2023-01-31,142748.97,0,704.49
LN-0000442,2023-01-31,17731.85,0,415.28
LN-0000443,2023-01-31,14134.67,0,1284.97
LN-0000447,2023-01-31,365113.12,0,3132.29
LN-0000448,2023-01-31,2718.55,30,110.37
LN-0000449,2023-01-31,302601.38,0,2570.94
LN-0000451,2023-01-31,12048.6,0,712.59
LN-0000452,2023-01-31,20305.18,0,599.57
LN-0000453,2023-01-31,21166.22,0,373.98
LN-0000454,2023-01-31,248761.72,0,1022.59
LN-0000455,2023-01-31,14490.94,0,561.14
LN-0000456,2023-01-31,37974.79,0,1008.13
LN-0000459,2023-01-31,3539.36,0,321.76
LN-0000460,2023-01-31,234838.26,0,1138.29
LN-0000461,2023-01-31,5079.94,0,320.1
LN-0000462,2023-01-31,22612.07,0,726.82
LN-0000463,2023-01-31,184327.2,0,1375.17
LN-0000464,2023-01-31,10655.84,60,490.46
LN-0000465,2023-01-31,333255.21,0,1636.53
LN-0000466,2023-01-31,131297.57,0,637.52
LN-0000467,2023-01-31,30520.44,0,1472.88
LN-0000468,2023-01-31,164337.32,0,823.57
LN-0000469,2023-01-31,4267.13,0,355.84
LN-0000470,2023-01-31,9894.49,0,437.67
LN-0000471,2023-01-31,10353.93,0,433.05
LN-0000472,2023-01-31,17273.11,0,628.24
LN-0000473,2023-01-31,12187.96,0,681.36
LN-0000474,2023-01-31,312559.26,0,1296.88
LN-0000475,2023-01-31,15563.02,0,1414.82
LN-0000476,2023-01-31,350573.62,0,1709.74
LN-0000477,2023-01-31,27007.23,0,632.71
LN-0000479,2023-01-31,2695.88,0,245.08
LN-0000481,2023-01-31,12457.32,0,534.87
LN-0000482,2023-01-31,374882.23,0,1617.54
LN-0000483,2023-01-31,327869.65,0,1544.25
LN-0000484,2023-01-31,368161.06,0,2007.94
LN-0000485,2023-01-31,23048.77,0,438.19
LN-0000486,2023-01-31,419465.51,0,1690.94
LN-0000487,2023-01-31,12247.72,0,561.33
LN-0000489,2023-01-31,351847.85,0,1567.59
LN-0000490,2023-01-31,211026.64,0,1015.83
LN-0000491,2023-01-31,19192.49,0,524.17
LN-0000492,2023-01-31,13489.66,0,477.56
LN-0000493,2023-01-31,8088.08,0,735.28
LN-0000494,2023-01-31,27929.31,0,501.21
LN-0000495,2023-01-31,9213.49,0,837.59
LN-0000496,2023-01-31,7144.28,0,649.48
LN-0000497,2023-01-31,34033.64,0,680.45
LN-0000498,2023-01-31,235557.86,0,1250.21
LN-0000499,2023-01-31,215554.35,0,968.03
LN-0000500,2023-01-31,11981.97,0,856.87
LN-0000501,2023-01-31,11961.5,0,422.88
LN-0000502,2023-01-31,239324.26,60,1182.98
LN-0000504,2023-01-31,212339.74,30,954.85
LN-0000505,2023-01-31,207319.92,0,999.66
LN-0000506,2023-01-31,30391.66,0,881.61
LN-0000507,2023-01-31,111856.85,0,558.77
LN-0000510,2023-01-31,8252.2,0,294.4
LN-0000513,2023-01-31,3948.47,0,185.94
LN-0000516,2023-01-31,212376.54,0,1063.08
LN-0000517,2023-01-31,11139.34,0,330.64
LN-0000518,2023-01-31,216479.87,30,1117.35
LN-0000519,2023-01-31,15780.21,0,330.54
LN-0000520,2023-01-31,609546.8,0,5032.73
LN-0000521,2023-01-31,1825.91,60,64.57
LN-0000523,2023-01-31,6703.51,0,516.06
LN-0000524,2023-01-31,11379.45,0,483.55
LN-0000525,2023-01-31,390852.96,0,3032.17
LN-0000527,2023-01-31,277822.81,0,1316.96
LN-0000528,2023-01-31,12924.11,0,810.85
LN-0000529,2023-01-31,10125.06,0,920.46
LN-0000530,2023-01-31,334620.68,0,2540.2
LN-0000531,2023-01-31,5846.28,30,531.48
LN-0000532,2023-01-31,301916.18,0,1340.49
LN-0000533,2023-01-31,7302.68,0,522.54
LN-0000534,2023-01-31,387061.57,0,1914.25
LN-0000535,2023-01-31,100538.54,0,571.33
LN-0000536,2023-01-31,7884.5,0,291.92
LN-0000537,2023-01-31,325674.15,0,2820.43
LN-0000539,2023-01-31,5354.75,0,206.73
LN-0000540,2023-01-31,221547.31,0,1280.97
LN-0000541,2023-01-31,303731.39,0,1293.3
LN-0000544,2023-01-31,19135.84,0,497.42
LN-0000545,2023-01-31,17173.38,0,569.33
LN-0000546,2023-01-31,34284.63,0,886.6
LN-0000547,2023-01-31,11979.61,0,393.53
LN-0000548,2023-01-31,220221.74,0,964.66
LN-0000549,2023-01-31,10946.98,0,783.33
LN-0000550,2023-01-31,12585.36,0,310.44
LN-0000551,2023-01-31,379120.96,0,1924.81
LN-0000554,2023-01-31,338913.66,0,1636.87
LN-0000556,2023-01-31,10342.27,0,374.24
LN-0000557,2023-01-31,6526.08,0,593.28
LN-0000559,2023-01-31,1757.8,0,159.8
LN-0000560,2023-01-31,290674.98,0,2312.87
LN-0000563,2023-01-31,33779.16,0,611.51
LN-0000565,2023-01-31,15311.6,0,683.19
LN-0000566,2023-01-31,547070.42,0,2831.14
LN-0000569,2023-01-31,389804.09,0,2032.37
LN-0000570,2023-01-31,10400.67,30,453.56
LN-0000571,2023-01-31,11504.38,0,381.08
LN-0000572,2023-01-31,14680.03,0,437.23
LN-0000574,2023-01-31,338183.27,0,1315.99
LN-0000575,2023-01-31,13375.43,0,427.77
LN-0000577,2023-01-31,8947.37,0,499.89
LN-0000578,2023-01-31,303949.27,0,1469.3
LN-0000579,2023-01-31,10377.18,0,943.38
LN-0000580,2023-01-31,388711.56,0,1760.32
LN-0000581,2023-01-31,1753.99,0,62.9
LN-0000584,2023-01-31,27895.42,0,679.9
LN-0000585,2023-01-31,32976.43,0,860.26
LN-0000586,2023-01-31,15316.25,60,468.59
LN-0000587,2023-01-31,18261.59,0,879.13
LN-0000588,2023-01-31,36779.88,0,1502.47
LN-0000589,2023-01-31,7323.36,0,282.48
LN-0000590,2023-01-31,174580.74,0,717.05
LN-0000592,2023-01-31,14971.23,0,374.05
LN-0000594,2023-01-31,5909.72,0,192.37
LN-0000596,2023-01-31,431712.47,0,2489.76
LN-0000597,2023-01-31,6033.23,0,307.25
LN-0000598,2023-01-31,12584.33,0,1144.03
LN-0000599,2023-01-31,476629.23,0,2150.52
LN-0000600,2023-01-31,4971.12,0,451.92
LN-0000601,2023-01-31,7492.59,0,270.38
LN-0000602,2023-01-31,8003.57,0,536.22
LN-0000603,2023-01-31,33392.11,0,796.22
LN-0000606,2023-01-31,13751.01,0,260.47
LN-0000607,2023-01-31,33154.31,0,1259.12
LN-0000608,2023-01-31,13215.84,0,1201.44
LN-0000609,2023-01-31,380906.4,0,1769.16
LN-0000610,2023-01-31,4095.85,0,372.35
LN-0000611,2023-01-31,5377.9,0,488.9
LN-0000614,2023-01-31,28858.86,0,484.79
LN-0000615,2023-01-31,390291.33,0,1907.53
LN-0000616,2023-01-31,4981.94,0,224.92
LN-0000617,2023-01-31,358878.85,0,1715.82
LN-0000618,2023-01-31,11332.62,0,479.76
LN-0000619,2023-01-31,316487.69,0,1622.76
LN-0000621,2023-01-31,416959.27,0,3151.93
LN-0000623,2023-01-31,187498.34,0,899.53
LN-0000624,2023-01-31,16039.37,0,1006.61
LN-0000625,2023-01-31,14391.18,0,490.59
LN-0000626,2023-01-31,9824.76,0,893.16
LN-0000627,2023-01-31,2550.36,0,102.9
LN-0000628,2023-01-31,7206.62,0,554.81
LN-0000629,2023-01-31,8866.23,0,309.0
LN-0000631,2023-01-31,3953.93,0,136.41
LN-0000632,2023-01-31,8548.65,0,200.65
LN-0000633,2023-01-31,29241.51,0,916.79
LN-0000634,2023-01-31,20846.21,0,466.06
LN-0000636,2023-01-31,336491.83,0,1514.13
LN-0000637,2023-01-31,226901.15,0,1532.94
LN-0000638,2023-01-31,177886.59,0,756.26
LN-0000639,2023-01-31,11115.31,0,427.86
LN-0000640,2023-01-31,264851.18,0,1303.24
LN-0000641,2023-01-31,17172.32,0,1561.12
LN-0000642,2023-01-31,380783.57,0,1730.64
LN-0000643,2023-01-31,13560.24,0,1130.34
LN-0000644,2023-01-31,26149.06,0,603.49
LN-0000646,2023-01-31,15153.16,0,1377.56
LN-0000647,2023-01-31,138470.82,0,1047.97
LN-0000648,2023-01-31,11899.62,0,440.59
LN-0000649,2023-01-31,355322.1,0,1573.32
LN-0000651,2023-01-31,11126.2,0,312.59
LN-0000652,2023-01-31,310262.24,0,1568.73
LN-0000653,2023-01-31,19369.24,0,1760.84
LN-0000654,2023-01-31,15101.61,0,374.0
LN-0000656,2023-01-31,458013.61,0,1927.52
LN-0000657,2023-01-31,22226.97,0,691.21
LN-0000658,2023-01-31,323517.69,0,2576.3
LN-0000659,2023-01-31,444826.08,0,1868.82
LN-0000661,2023-01-31,14325.17,0,408.63
LN-0000663,2023-01-31,32949.21,0,673.64
LN-0000666,2023-01-31,22931.65,0,539.1
LN-0000668,2023-01-31,1956.32,0,65.59
LN-0000670,2023-01-31,21825.31,30,724.22
LN-0000671,2023-01-31,154307.6,0,1073.45
LN-0000673,2023-01-31,358010.07,0,1488.24
LN-0000674,2023-01-31,6225.78,0,565.98
LN-0000675,2023-01-31,21511.36,0,511.57
LN-0000677,2023-01-31,5597.9,0,508.9
LN-0000678,2023-01-31,6753.67,0,613.97
LN-0000680,2023-01-31,21199.78,0,770.06
LN-0000681,2023-01-31,361928.35,0,1607.85
LN-0000682,2023-01-31,322865.64,60,2508.47
LN-0000683,2023-01-31,361970.92,0,1903.6
LN-0000684,2023-01-31,22934.23,30,2084.93
LN-0000686,2023-01-31,6674.89,0,270.66
LN-0000688,2023-01-31,5350.22,30,446.15
LN-0000689,2023-01-31,10698.75,0,412.94
LN-0000692,2023-01-31,27308.72,0,1031.31
LN-0000694,2023-01-31,13271.57,0,562.07
LN-0000696,2023-01-31,24238.31,0,505.67
LN-0000697,2023-01-31,13719.85,0,861.58
LN-0000698,2023-01-31,366996.92,0,1711.06
LN-0000700,2023-01-31,25537.86,0,900.2
LN-0000701,2023-01-31,29215.15,0,635.5
LN-0000703,2023-01-31,10152.61,0,466.75
LN-0000704,2023-01-31,7098.74,0,645.34
LN-0000708,2023-01-31,7255.76,0,455.16
LN-0000710,2023-01-31,275383.05,0,2082.02
LN-0000711,2023-01-31,161920.24,0,799.0
LN-0000713,2023-01-31,219379.54,0,841.66
LN-0000714,2023-01-31,99783.8,0,478.52
LN-0000715,2023-01-31,269798.93,0,1076.42
LN-0000717,2023-01-31,5816.47,0,528.77
LN-0000719,2023-01-31,12258.81,0,377.86
LN-0000720,2023-01-31,19344.94,0,534.25
LN-0000721,2023-01-31,12587.33,0,611.01
LN-0000722,2023-01-31,502210.3,0,2547.74
LN-0000723,2023-01-31,2641.25,0,89.01
LN-0000724,2023-01-31,189075.58,0,1490.94
LN-0000726,2023-01-31,370176.1,0,3009.14
LN-0000727,2023-01-31,256532.26,0,1089.57
