loan_id,customer_id,loan_type,origination_date,maturity_date,term_months,interest_rate,original_principal,monthly_payment,dti,collateral_value,ltv,credit_score_at_origination,current_balance,current_credit_score,risk_grade,default_flag,delinquency_days,recovery_amount,prepayment_flag,loan_status,pool_id
LN-0000037,CUST-017576,Mortgage,2022-06-13,2052-06-12 06:35:59.999999965,360,0.0431,307285.99,1522.48,0.1,335726.89,0.92,649,299512.86,652,Fair,0,0,0.0,0,Current,POOL-06
LN-0000038,CUST-040812,Mortgage,2020-11-23,2050-11-23 06:35:59.999999965,360,0.0353,346748.54,1562.87,0.58,396568.58,0.87,727,0.0,698,Good,1,236,247384.33,0,Defaulted,POOL-04
LN-0000039,CUST-046788,Personal,2021-12-29,2025-12-28 23:16:48.000000000,48,0.083,10620.15,260.77,0.04,0.0,0.0,850,5748.3,850,Exceptional,0,0,0.0,0,Current,POOL-09
LN-0000040,CUST-043487,Personal,2022-01-30,2023-01-30 05:49:12.000000000,12,0.094,15071.75,1320.84,0.23,0.0,0.0,740,0.0,745,Very Good,0,0,0.0,0,Current,POOL-08
LN-0000041,CUST-019828,Auto,2021-07-24,2026-07-24 05:06:00.000000008,60,0.058,39591.9,761.75,0.14,48149.31,0.82,600,0.0,625,Fair,1,110,5487.17,0,Defaulted,POOL-01
LN-0000042,CUST-005987,Credit Card,2021-02-12,2021-02-12 00:00:00.000000000,0,0.1879,2105.66,105.28,0.02,0.0,0.0,601,1309.34,569,Subprime,0,0,0.0,0,Current,POOL-10
LN-0000043,CUST-039675,Mortgage,2022-01-04,2052-01-04 06:35:59.999999965,360,0.0405,446574.62,2144.91,0.72,544550.26,0.82,675,0.0,714,Good,1,300,215413.3,0,Defaulted,POOL-07
LN-0000044,CUST-031601,Auto,2021-04-25,2027-04-25 10:55:11.999999991,72,0.0572,22743.13,373.92,0.02,27167.84,0.84,608,13588.03,612,Fair,0,0,0.0,0,Current,POOL-06
LN-0000045,CUST-029058,Auto,2022-02-25,2028-02-25 10:55:11.999999991,72,0.0414,28962.78,454.98,0.06,36098.56,0.8,766,20861.96,773,Very Good,0,56,0.0,0,Delinquent,POOL-02
LN-0000046,CUST-043601,Auto,2022-02-17,2025-02-16 17:27:36.000000000,36,0.0608,14722.91,448.43,0.08,15562.76,0.95,572,6045.81,573,Subprime,0,0,0.0,0,Current,POOL-01
LN-0000047,CUST-004251,Credit Card,2021-07-10,2021-07-10 00:00:00.000000000,0,0.1807,2977.88,148.89,0.05,0.0,0.0,673,1569.0,680,Good,0,0,0.0,0,Current,POOL-10
LN-0000048,CUST-026841,Auto,2020-11-01,2025-11-01 05:06:00.000000008,60,0.0454,15141.08,282.55,0.07,20641.09,0.73,726,6212.71,713,Good,0,76,0.0,0,Delinquent,POOL-10
LN-0000049,CUST-012638,Auto,2022-06-19,2026-06-18 23:16:48.000000000,48,0.0531,15955.95,369.7,0.02,18012.99,0.89,649,10364.9,636,Fair,0,49,0.0,0,Delinquent,POOL-04
LN-0000050,CUST-032935,Personal,2021-09-10,2022-09-10 05:49:12.000000000,12,0.0971,12751.71,1119.36,0.19,0.0,0.0,709,0.0,719,Good,0,0,0.0,0,Current,POOL-05
LN-0000051,CUST-025251,Mortgage,2022-06-20,2052-06-19 06:35:59.999999965,360,0.0427,289061.82,1425.4,0.08,316435.14,0.91,653,281698.89,620,Fair,0,0,0.0,0,Current,POOL-04
LN-0000052,CUST-021769,Mortgage,2021-10-30,2051-10-30 06:35:59.999999965,360,0.0316,209882.01,903.08,0.11,266509.08,0.79,764,200465.43,752,Very Good,0,0,0.0,0,Current,POOL-04
LN-0000053,CUST-026285,Mortgage,2021-08-20,2036-08-19 15:17:59.999999982,180,0.0364,402402.48,2904.45,0.54,457876.69,0.88,716,353272.85,711,Good,0,0,0.0,0,Current,POOL-05
LN-0000054,CUST-020653,Auto,2022-02-20,2026-02-19 23:16:48.000000000,48,0.0539,31603.46,733.4,0.26,36256.34,0.87,641,17959.12,659,Fair,0,0,0.0,0,Current,POOL-04
LN-0000055,CUST-024302,Auto,2021-01-21,2025-01-20 23:16:48.000000000,48,0.0508,36451.65,840.78,0.17,44991.51,0.81,672,10612.95,684,Good,0,0,0.0,0,Current,POOL-08
LN-0000056,CUST-048793,Mortgage,2021-09-29,2051-09-29 06:35:59.999999965,360,0.0331,268309.81,1176.55,0.18,328962.8,0.82,749,256092.75,712,Good,0,0,0.0,0,Current,POOL-10
LN-0000057,CUST-014309,Auto,2021-12-30,2027-12-30 10:55:11.999999991,72,0.0378,16999.35,264.26,0.01,22922.05,0.74,802,11754.83,793,Very Good,0,0,0.0,0,Current,POOL-09
LN-0000058,CUST-034060,Credit Card,2022-07-20,2022-07-20 00:00:00.000000000,0,0.1818,2917.26,145.86,0.02,0.0,0.0,662,1574.37,655,Fair,0,0,0.0,0,Current,POOL-06
LN-0000059,CUST-035492,Auto,2020-12-08,2025-12-08 05:06:00.000000008,60,0.0525,30413.48,577.43,0.04,40261.2,0.76,655,13128.35,616,Fair,0,0,0.0,0,Current,POOL-08
LN-0000060,CUST-045674,Personal,2022-07-28,2023-07-28 05:49:12.000000000,12,0.1066,12356.17,1090.1,0.14,0.0,0.0,614,0.0,642,Fair,0,0,0.0,0,Current,POOL-02
LN-0000061,CUST-047634,Auto,2021-10-08,2027-10-08 10:55:11.999999991,72,0.06,30441.59,504.51,0.07,42087.39,0.72,580,20685.81,580,Subprime,0,0,0.0,0,Current,POOL-07
LN-0000062,CUST-000202,Credit Card,2021-06-25,2021-06-25 00:00:00.000000000,0,0.187,4622.31,231.12,0.06,0.0,0.0,610,2445.92,590,Fair,0,0,0.0,0,Current,POOL-05
LN-0000063,CUST-038603,Credit Card,2020-08-26,2020-08-26 00:00:00.000000000,0,0.1888,8859.93,443.0,0.05,0.0,0.0,592,0.0,548,Subprime,1,246,4150.51,0,Defaulted,POOL-01
LN-0000064,CUST-019394,Personal,2020-02-18,2023-02-17 17:27:36.000000000,36,0.083,13049.74,410.74,0.02,0.0,0.0,850,0.0,841,Exceptional,0,0,0.0,0,Current,POOL-08
LN-0000065,CUST-002898,Auto,2022-06-25,2025-06-24 17:27:36.000000000,36,0.0399,39541.84,1167.26,0.34,43030.3,0.92,781,20361.41,789,Very Good,0,0,0.0,0,Current,POOL-01
LN-0000066,CUST-008720,Auto,2020-02-12,2023-02-11 17:27:36.000000000,36,0.0496,38083.25,1140.71,0.14,42642.15,0.89,684,0.0,690,Good,0,0,0.0,0,Current,POOL-03
LN-0000067,CUST-031769,Mortgage,2022-09-20,2052-09-19 06:35:59.999999965,360,0.0402,295227.23,1412.87,0.17,338675.86,0.87,678,288718.13,675,Good,0,0,0.0,0,Current,POOL-08
LN-0000068,CUST-045140,Credit Card,2022-01-04,2022-01-04 00:00:00.000000000,0,0.1682,7627.11,381.36,0.08,0.0,0.0,798,6493.33,765,Very Good,0,0,0.0,0,Current,POOL-03
LN-0000069,CUST-049428,Mortgage,2021-05-20,2051-05-20 06:35:59.999999965,360,0.0295,297146.3,1244.78,0.51,365656.37,0.81,785,280600.96,779,Very Good,0,0,0.0,0,Current,POOL-01
LN-0000070,CUST-010490,Personal,2021-08-25,2023-08-25 11:38:24.000000000,24,0.0849,9367.84,425.78,0.06,0.0,0.0,831,0.0,834,Exceptional,0,0,0.0,0,Current,POOL-10
LN-0000071,CUST-019848,Auto,2021-03-29,2024-03-28 17:27:36.000000000,36,0.0532,38159.56,1149.17,0.66,48132.1,0.79,648,3417.16,662,Fair,0,0,0.0,0,Current,POOL-03
LN-0000072,CUST-034796,Personal,2020-09-20,2024-09-19 23:16:48.000000000,48,0.1032,12508.92,319.18,0.04,0.0,0.0,648,2752.93,660,Fair,0,0,0.0,0,Current,POOL-05
LN-0000073,CUST-043660,Credit Card,2022-08-22,2022-08-22 00:00:00.000000000,0,0.1752,3577.43,178.87,0.11,0.0,0.0,728,3481.41,716,Good,0,0,0.0,0,Current,POOL-08
LN-0000074,CUST-038863,Personal,2022-06-17,2024-06-16 11:38:24.000000000,24,0.1016,14656.7,677.42,0.04,0.0,0.0,664,3946.72,651,Fair,0,0,0.0,0,Current,POOL-03
LN-0000075,CUST-024361,Personal,2021-07-08,2024-07-07 17:27:36.000000000,36,0.0942,19133.4,612.18,0.08,0.0,0.0,738,0.0,724,Good,0,23,0.0,1,Prepaid,POOL-02
LN-0000076,CUST-002189,Auto,2021-01-10,2025-01-09 23:16:48.000000000,48,0.0449,38994.97,889.05,0.17,49980.9,0.78,731,11260.46,692,Good,0,0,0.0,0,Current,POOL-01
LN-0000077,CUST-031722,Auto,2021-05-09,2025-05-08 23:16:48.000000000,48,0.0546,37830.69,879.12,0.53,47017.11,0.8,634,14350.27,627,Fair,0,0,0.0,0,Current,POOL-08
LN-0000078,CUST-008359,Mortgage,2022-07-03,2052-07-02 06:35:59.999999965,360,0.0516,264396.12,1445.3,0.09,338673.84,0.78,564,258969.06,549,Subprime,0,0,0.0,0,Current,POOL-08
LN-0000079,CUST-034352,Personal,2020-08-19,2022-08-19 11:38:24.000000000,24,0.1001,16334.39,753.82,0.23,0.0,0.0,679,0.0,696,Good,0,0,0.0,0,Current,POOL-09
LN-0000080,CUST-007678,Mortgage,2020-11-16,2050-11-16 06:35:59.999999965,360,0.0445,383310.49,1930.81,0.31,423884.89,0.9,635,363149.84,630,Fair,0,0,0.0,0,Current,POOL-04
LN-0000081,CUST-007244,Auto,2020-05-10,2025-05-10 05:06:00.000000008,60,0.0649,35005.68,684.76,0.15,37416.03,0.94,531,0.0,546,Subprime,1,321,8121.22,0,Defaulted,POOL-10
LN-0000082,CUST-006337,Mortgage,2022-04-13,2052-04-12 06:35:59.999999965,360,0.0404,330112.6,1583.63,0.15,359842.44,0.92,676,320359.31,677,Good,0,22,0.0,0,Delinquent,POOL-03
LN-0000083,CUST-013657,Mortgage,2022-07-10,2052-07-09 06:35:59.999999965,360,0.0301,276067.67,1165.4,0.13,292224.52,0.94,779,267864.45,749,Very Good,0,0,0.0,0,Current,POOL-10
LN-0000084,CUST-033278,Auto,2021-09-20,2027-09-20 10:55:11.999999991,72,0.0334,32933.74,505.41,0.12,36596.65,0.9,846,21348.91,843,Exceptional,0,0,0.0,0,Current,POOL-04
LN-0000085,CUST-005205,Mortgage,2021-10-02,2051-10-02 06:35:59.999999965,360,0.0358,319011.88,1446.79,0.56,399056.21,0.8,722,0.0,720,Good,0,0,0.0,1,Prepaid,POOL-05
LN-0000086,CUST-040496,Auto,2021-07-22,2026-07-22 05:06:00.000000008,60,0.055,23585.85,450.52,0.02,33682.22,0.7,630,12991.54,629,Fair,0,0,0.0,0,Current,POOL-06
LN-0000087,CUST-011443,Mortgage,2020-02-16,2050-02-15 06:35:59.999999965,360,0.0374,264703.47,1224.38,0.11,294281.91,0.9,706,244982.33,704,Good,0,0,0.0,0,Current,POOL-05
LN-0000088,CUST-019856,Mortgage,2021-05-01,2051-05-01 06:35:59.999999965,360,0.0328,310029.07,1354.38,0.14,350096.85,0.89,752,293099.78,729,Good,0,0,0.0,0,Current,POOL-09
LN-0000089,CUST-013695,Auto,2021-08-01,2024-07-31 17:27:36.000000000,36,0.0523,34964.3,1051.53,0.04,44121.49,0.79,657,0.0,694,Good,0,0,0.0,1,Prepaid,POOL-10
LN-0000090,CUST-017317,Personal,2022-01-28,2024-01-28 11:38:24.000000000,24,0.1008,9737.96,449.72,0.1,0.0,0.0,672,445.97,664,Fair,0,37,0.0,0,Delinquent,POOL-01
LN-0000091,CUST-022642,Auto,2020-12-10,2025-12-10 05:06:00.000000008,60,0.0599,21812.68,421.6,0.23,27796.41,0.78,581,0.0,588,Fair,1,190,5446.0,0,Defaulted,POOL-05
LN-0000092,CUST-003614,Mortgage,2022-01-29,2052-01-29 06:35:59.999999965,360,0.0505,265609.41,1433.98,0.79,331367.98,0.8,575,257989.94,579,Subprime,0,0,0.0,0,Current,POOL-02
LN-0000093,CUST-032117,Mortgage,2020-10-22,2035-10-22 15:17:59.999999982,180,0.0454,290111.36,2225.27,0.19,314690.09,0.92,626,244119.46,640,Fair,0,0,0.0,0,Current,POOL-08
LN-0000094,CUST-031738,Mortgage,2021-03-23,2036-03-22 15:17:59.999999982,180,0.0296,286327.89,1971.82,0.19,314429.01,0.91,784,242873.73,775,Very Good,0,0,0.0,0,Current,POOL-02
LN-0000095,CUST-005933,Credit Card,2020-07-24,2020-07-24 00:00:00.000000000,0,0.177,2433.71,121.69,0.01,0.0,0.0,710,2155.18,738,Good,0,0,0.0,0,Current,POOL-02
LN-0000096,CUST-010618,Auto,2020-05-20,2023-05-20 17:27:36.000000000,36,0.0487,34881.07,1043.38,0.18,44226.7,0.79,693,0.0,668,Fair,0,0,0.0,0,Current,POOL-02
LN-0000097,CUST-025487,Personal,2022-09-07,2024-09-06 11:38:24.000000000,24,0.1036,17064.57,790.28,0.12,0.0,0.0,644,6814.98,634,Fair,0,0,0.0,0,Current,POOL-01
LN-0000098,CUST-011062,Auto,2020-06-12,2025-06-12 05:06:00.000000008,60,0.0512,36730.94,695.18,0.33,47751.32,0.77,668,12020.14,684,Good,0,0,0.0,0,Current,POOL-07
LN-0000099,CUST-012671,Auto,2020-05-11,2026-05-11 10:55:11.999999991,72,0.0484,42258.48,677.44,0.1,54322.47,0.78,696,18505.12,665,Fair,0,0,0.0,0,Current,POOL-10
LN-0000100,CUST-017551,Auto,2021-11-10,2026-11-10 05:06:00.000000008,60,0.0396,24484.97,450.49,0.09,34959.7,0.7,784,14867.41,814,Exceptional,0,0,0.0,0,Current,POOL-06
LN-0000101,CUST-033974,Mortgage,2021-04-14,2051-04-14 06:35:59.999999965,360,0.0502,256727.38,1381.31,0.07,277292.26,0.93,578,246227.57,612,Fair,0,0,0.0,0,Current,POOL-03
LN-0000102,CUST-048516,Auto,2022-04-04,2028-04-03 10:55:11.999999991,72,0.0413,22835.06,358.61,0.03,29066.61,0.79,767,17047.67,744,Very Good,0,0,0.0,0,Current,POOL-08
LN-0000103,CUST-008740,Mortgage,2022-07-20,2052-07-19 06:35:59.999999965,360,0.0249,492532.53,1943.54,0.07,578327.82,0.85,831,476603.67,850,Exceptional,0,0,0.0,0,Current,POOL-08
LN-0000104,CUST-019977,Mortgage,2022-05-16,2052-05-15 06:35:59.999999965,360,0.0506,438704.09,2371.17,0.49,612354.54,0.72,574,0.0,583,Fair,0,11,0.0,1,Prepaid,POOL-06
LN-0000105,CUST-013649,Auto,2021-09-17,2025-09-16 23:16:48.000000000,48,0.0592,30051.0,704.65,0.04,41831.96,0.72,588,14024.06,614,Fair,0,0,0.0,0,Current,POOL-07
LN-0000106,CUST-015254,Mortgage,2022-06-17,2052-06-16 06:35:59.999999965,360,0.0313,227103.95,973.48,0.11,307685.37,0.74,767,220089.69,747,Very Good,0,0,0.0,0,Current,POOL-10
LN-0000107,CUST-037753,Mortgage,2020-02-10,2035-02-09 15:17:59.999999982,180,0.0401,348437.44,2579.1,0.45,472614.94,0.74,679,278217.95,687,Good,0,0,0.0,0,Current,POOL-06
LN-0000108,CUST-009418,Mortgage,2021-08-21,2051-08-21 06:35:59.999999965,360,0.0481,255949.31,1344.42,0.25,316521.04,0.81,599,0.0,584,Fair,0,0,0.0,1,Prepaid,POOL-10
LN-0000109,CUST-020249,Auto,2021-01-09,2026-01-09 05:06:00.000000008,60,0.0337,14632.66,265.34,0.05,16043.77,0.91,843,6397.39,818,Exceptional,0,9,0.0,0,Delinquent,POOL-09
LN-0000110,CUST-047633,Auto,2020-11-17,2024-11-16 23:16:48.000000000,48,0.0352,13910.95,311.12,0.05,17651.55,0.79,828,3362.81,808,Exceptional,0,0,0.0,0,Current,POOL-07
LN-0000111,CUST-011197,Auto,2020-12-31,2024-12-30 23:16:48.000000000,48,0.0402,32747.82,739.71,0.14,38394.82,0.85,778,9394.43,755,Very Good,0,0,0.0,0,Current,POOL-05
LN-0000112,CUST-030542,Personal,2022-08-01,2024-07-31 11:38:24.000000000,24,0.083,10919.08,495.34,0.05,0.0,0.0,850,0.0,850,Exceptional,0,0,0.0,1,Prepaid,POOL-06
LN-0000113,CUST-023847,Mortgage,2022-02-08,2052-02-08 06:35:59.999999965,360,0.0392,258933.57,1224.28,0.09,365396.67,0.71,688,250316.31,673,Good,0,0,0.0,0,Current,POOL-10
LN-0000114,CUST-040703,Mortgage,2020-12-02,2050-12-02 06:35:59.999999965,360,0.0466,255215.41,1317.51,0.11,334372.13,0.76,614,0.0,635,Fair,1,186,171920.14,0,Defaulted,POOL-07
LN-0000115,CUST-042254,Mortgage,2020-10-01,2050-10-01 06:35:59.999999965,360,0.0364,387242.13,1769.29,0.16,519867.95,0.74,716,363329.6,721,Good,0,0,0.0,0,Current,POOL-05
LN-0000116,CUST-025616,Mortgage,2022-02-09,2052-02-09 06:35:59.999999965,360,0.0332,269774.96,1184.47,0.21,311054.43,0.87,748,259851.77,778,Very Good,0,0,0.0,0,Current,POOL-04
LN-0000117,CUST-012741,Personal,2020-10-03,2024-10-02 23:16:48.000000000,48,0.1002,14558.1,369.37,0.09,0.0,0.0,678,0.0,653,Fair,0,0,0.0,1,Prepaid,POOL-05
LN-0000118,CUST-009003,Auto,2021-10-21,2026-10-21 05:06:00.000000008,60,0.044,36933.12,686.87,0.1,51169.86,0.72,740,21918.71,704,Good,0,0,0.0,0,Current,POOL-09
LN-0000119,CUST-010230,Auto,2021-09-14,2025-09-13 23:16:48.000000000,48,0.0536,34204.19,793.29,0.21,41236.3,0.83,644,15867.84,634,Fair,0,0,0.0,0,Current,POOL-07
LN-0000120,CUST-039840,Mortgage,2022-04-06,2052-04-05 06:35:59.999999965,360,0.045,507560.04,2571.73,0.46,540065.72,0.94,630,493705.29,637,Fair,0,0,0.0,0,Current,POOL-05
LN-0000121,CUST-016849,Personal,2022-09-23,2024-09-22 11:38:24.000000000,24,0.1054,21588.38,1001.58,0.16,0.0,0.0,626,8630.8,630,Fair,0,0,0.0,0,Current,POOL-07
LN-0000122,CUST-000536,Credit Card,2021-07-07,2021-07-07 00:00:00.000000000,0,0.1756,2145.09,107.25,0.02,0.0,0.0,724,1598.75,701,Good,0,0,0.0,0,Current,POOL-09
LN-0000123,CUST-014611,Mortgage,2020-06-22,2050-06-22 06:35:59.999999965,360,0.0462,329886.97,1695.09,0.31,355276.29,0.93,618,310551.8,648,Fair,0,0,0.0,0,Current,POOL-05
LN-0000124,CUST-011448,Mortgage,2021-05-10,2051-05-10 06:35:59.999999965,360,0.0357,287851.01,1303.85,0.34,365992.55,0.79,723,0.0,699,Good,0,0,0.0,1,Prepaid,POOL-10
LN-0000125,CUST-009602,Personal,2021-03-27,2022-03-27 05:49:12.000000000,12,0.0882,14097.44,1231.67,0.19,0.0,0.0,798,0.0,786,Very Good,0,0,0.0,0,Current,POOL-06
LN-0000126,CUST-027878,Mortgage,2021-06-22,2051-06-22 06:35:59.999999965,360,0.0475,285426.92,1488.92,0.48,356827.51,0.8,605,274011.9,624,Fair,0,0,0.0,0,Current,POOL-01
LN-0000127,CUST-041986,Personal,2021-09-06,2022-09-06 05:49:12.000000000,12,0.1036,14584.63,1284.66,0.32,0.0,0.0,644,0.0,696,Good,0,0,0.0,0,Current,POOL-02
LN-0000128,CUST-047319,Personal,2022-08-21,2024-08-20 11:38:24.000000000,24,0.0932,6443.97,295.34,0.05,0.0,0.0,748,2282.22,754,Very Good,0,0,0.0,0,Current,POOL-03
LN-0000129,CUST-034906,Auto,2020-04-28,2026-04-28 10:55:11.999999991,72,0.0528,51570.73,837.26,0.23,70377.28,0.73,652,22011.17,614,Fair,0,0,0.0,0,Current,POOL-06
LN-0000130,CUST-047374,Mortgage,2022-04-12,2037-04-11 15:17:59.999999982,180,0.0241,412623.06,2733.88,0.17,504107.97,0.82,839,373783.35,835,Exceptional,0,0,0.0,0,Current,POOL-03
LN-0000131,CUST-039337,Auto,2022-06-03,2025-06-02 17:27:36.000000000,36,0.0635,45166.09,1381.21,0.27,56116.65,0.8,545,23654.92,551,Subprime,0,0,0.0,0,Current,POOL-02
